original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,kmeans_cluster,dbscan_cluster
Grow Up_ Grow Old,Debbie Davies,"Grow Up, Grow Old",Debbie Davies,Love The Game,2001,0,283933,False,https://i.scdn.co/image/ab67616d0000b273f50ea20fef330aca1bc61ad5,1,17
Walk Away From Love,Willie Clayton,Walk Away From Love,Willie Clayton,Sings The Number Ones,2018,8,256165,False,https://i.scdn.co/image/ab67616d0000b27391ebee8339386e4f701b62aa,1,18
Rainbow Country ,Bob Marley & The Wailers,Rainbow Country (Knee Deep's Club Mix),Knee Deep,Clubber's Guide to Deep House,2004,17,194583,False,https://i.scdn.co/image/ab67616d0000b2735464d1c0c558090278e07c0c,1,2
Strange Things,Tanto Metro & Devonte,Strange Things,Tanto Metro & Devonte,Riddim Driven: Celebration,2009,0,158200,False,https://i.scdn.co/image/ab67616d0000b2736d51623419c78d6ac9e196a0,1,19
Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,Screamin' and Hollerin' The Blues,2005,0,210493,False,https://i.scdn.co/image/ab67616d0000b27307d7c48feef7b77f2d447c68,1,20
Dholna Dholna,Naseebo Lal,Dholna Ve Ranjna,Naseebo Lal,"Thand Lagdi Menu, Vol. 68 (Mujra Hi Mujra)",2015,16,296342,False,https://i.scdn.co/image/ab67616d0000b2731f1c1b04b0f101ed9b2df929,1,2
Parchman Farm,Hot Tuna,Parchman Farm,Hot Tuna,Pair A Dice Found,1990,1,312306,False,https://i.scdn.co/image/ab67616d0000b2736c31e7b8d8543b6307ed4b80,1,21
A Lo Clasico,Daddy Yankee,A Lo Clásico,Daddy Yankee,El Cartel: The Big Boss,2007,29,235093,True,https://i.scdn.co/image/ab67616d0000b27323a0d80da059e0b729f42714,1,3
Zhi Xiang Ni hui Yi,Hacken Lee,只想您會意,Hacken Lee,只想您會意,1992,27,260693,False,https://i.scdn.co/image/ab67616d0000b2735f59d1f007b4fecd29bfad6c,1,22
Amaze,Jimmy Riley,Amaze,Jimmy Riley,"Sons Of Jamaica, Vol. 2",2015,0,218893,False,https://i.scdn.co/image/ab67616d0000b273da549073a81662f843403961,3,23
Radio Rape,The Cortinas,Radio Rape,The Cortinas,Please Don't Hit Me,1978,0,221266,False,https://i.scdn.co/image/ab67616d0000b273b9f116a737c169d899a4b7cf,1,2
Ain't No Game,Masta Ace Incorporated,Ain't No Game,Masta Ace Incorporated,Sittin' On Chrome,1995,11,295106,True,https://i.scdn.co/image/ab67616d0000b273ead3418d92456c9f3778a947,1,24
Cavaleiro De Aruanda,Jongo Trio,Cavaleiro De Aruanda,Jongo Trio,Jongo Trio,2002,10,158106,False,https://i.scdn.co/image/ab67616d0000b27352de1741f3591255e6ba2671,1,2
TELL ME WHY,George Nooks,Tell Me Why,George Nooks,No Power On Earth,2002,0,224160,False,https://i.scdn.co/image/ab67616d0000b2739481af4fd89011dc6a0a0d85,3,25
Czwarty,Energy,Czwarty,Energy,Energy,1999,0,310933,False,https://i.scdn.co/image/ab67616d0000b273a3a22015c14f8d1d154afbb9,1,2
Washington Post ,Felix Slatkin/Concert Arts Symphonic Band,Washington Post - 1998 Digital Remaster,John Philip Sousa,The Military Band: Salute To The Services,1998,1,151413,False,https://i.scdn.co/image/ab67616d0000b273b1d0b16cbea29b3e12ecbc76,1,2
Cavalleria Rusticana,William Orbit,Cavalleria Rusticana,William Orbit,Pieces In A Modern Style,1995,21,199866,False,https://i.scdn.co/image/ab67616d0000b27325f448257f17bda198d949e9,1,26
Forever,Chris Brown,Forever,Chris Brown,Forever,2008,77,278573,False,https://i.scdn.co/image/ab67616d0000b273b0d747e54b78eb460dcb9316,1,-1
Amor a Medias,HA-ASH,Amor a Medias,Ha*Ash,Mundos Opuestos,2005,53,254826,False,https://i.scdn.co/image/ab67616d0000b273f84b508ac6c54b24ed5428c3,1,27
15 Step,Radiohead,15 Step,Radiohead,In Rainbows,2007,64,237293,False,https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9,1,28
I Love Your Way,Kashief Lindo,I Love Your Way,Kashief Lindo,Love Knows The Way,2005,1,210520,False,https://i.scdn.co/image/ab67616d0000b273587fa7583cea0238d41e0950,3,-1
Lookin' For Me Somewhere,BoDeans,Lookin' for Me Somewhere,Bodeans,Love & Hope & Sex & Dreams,1986,23,181733,False,https://i.scdn.co/image/ab67616d0000b2734d9edd1343a48b412465d304,1,2
Raise Your Hands,Bon Jovi,Raise Your Hands,Bon Jovi,Slippery When Wet,1986,49,256733,False,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,1,29
Rainbow Dance,John Tchicai,Rainbow Dance,John Tchicai,Anybody Home?,2013,0,182346,False,https://i.scdn.co/image/ab67616d0000b273e789f5ca93cef117a53742a6,1,2
Champagne & Reefer,Bongzilla,Champagne & Reefer,Bongzilla,Amerijuanican,2005,21,286586,True,https://i.scdn.co/image/ab67616d0000b27390b05574f7590723c7860413,1,30
No More Doggin',Otis Spann,No More Doggin',Otis Spann,The Biggest Thing Since Colossus,1969,5,177373,False,https://i.scdn.co/image/ab67616d0000b2732f750bd149344a63675697fb,1,31
I Need a Veggie,John Holt,I Need a Veggie,John Holt,I Need a Veggie,1978,0,231066,False,https://i.scdn.co/image/ab67616d0000b273191099306298fccd8da37e2c,3,32
Get Happy,Danny Wilson,Get Happy,Danny Wilson,Sweet Danny Wilson / Three-In-A-Bed-Romp,1991,1,126973,False,https://i.scdn.co/image/ab67616d0000b273178358695783f184bf0e23a7,1,33
I'll Wait for You Dear,Al Dexter,I'll Wait For You Dear,Al Dexter,Remind Me Your Name?,2016,0,156320,False,https://i.scdn.co/image/ab67616d0000b273d03e4ff69afcb71ae37ceac1,1,34
From Afar ,Van Halen,From Afar,Van Halen,Van Halen III,1998,20,324226,False,https://i.scdn.co/image/ab67616d0000b273e2ec7223c7a80f16b06a064c,1,35
Cry For Love,Capleton,Cry for Love,Capleton,Rachik,2009,2,172720,False,https://i.scdn.co/image/ab67616d0000b273ed563850a7aa7163abfa8ffe,3,36
Wohär dr Wind wäiht,Kisha,Wohär dr Wind wäiht,Kisha,Stoffwächsu,2004,0,203040,False,https://i.scdn.co/image/ab67616d0000b273d1b0bc6d278a67cca65ba66b,1,2
Volumatic Spacer Device,The Chap,Volumatic Spacer Device,The Chap,The Horse,2003,0,231653,False,https://i.scdn.co/image/ab67616d0000b2738f1fd7fdafb721625d76136a,1,2
Putt Jhatt Da Gulabi Phull Varga,DJ Vix,Putt Jhatt Da Gulabi Phull Varga,Dj Vix,The Official Moviebox Vix Tape Vol.1,2008,1,98773,False,https://i.scdn.co/image/ab67616d0000b273945e5e99144112d2592cd950,1,37
Namibia,Ziggy Marley And The Melody Makers,Namibia,Ziggy Marley & The Melody Makers,Jahmekya,1991,5,246466,False,https://i.scdn.co/image/ab67616d0000b27387d9a181a8dce1978a22d9eb,3,38
Unlearn,Crematorium,Unlearn,Crematorium,For All Our Sins,2002,0,210133,False,https://i.scdn.co/image/ab67616d0000b27330b4487a43dec4fd18764799,1,2
Vargbrodern Talar,Månegarm,Vargbrodern Talar,Månegarm,Vargstenen,2007,11,92773,False,https://i.scdn.co/image/ab67616d0000b2738275a1f28032251e99702db5,1,39
Sweet Lady,Ernest Ranglin / Floyd Lloyd,Sweet Lady - Instrumental,Floyd Lloyd,Better to Laugh,1996,0,296493,False,https://i.scdn.co/image/ab67616d0000b2733525713415fa01f0ef08a417,1,2
Forever,Franco,Forever More (Francois K & Eric Kupper Vocal Mix),Moloko,"All Back to the Mine: Vol, 1: A Collection of Remixes",2016,29,633901,False,https://i.scdn.co/image/ab67616d0000b273d46ee7c87b2d7d1772bf9cd1,1,77
3,Britney Spears,3,Britney Spears,The Singles Collection,2009,57,213173,False,https://i.scdn.co/image/ab67616d0000b273cc8fa71a43ad87783b3f64be,1,40
Meet Me in the City,Junior Kimbrough,Meet Me in the City,Junior Kimbrough,First Recordings,2009,42,151360,False,https://i.scdn.co/image/ab67616d0000b27363b7e3b8951104a28ddfa3bb,1,455
Drama  ,Liquid Gang,Drama,Liquid Gang,Sunshine,2000,1,226026,False,https://i.scdn.co/image/ab67616d0000b2731b7ec89708d626f4b328ed89,1,2
Oh What A Feeling,Everly Brothers,"Oh, What A Feeling",The Everly Brothers,The Fabulous Style Of The Everly Brothers,1960,10,127706,False,https://i.scdn.co/image/ab67616d0000b27308583afa01434b9ff4a2c80f,1,-1
Concerto For Saxophone : Movement IV,Philip Glass,Concerto for Saxophone Quartet & Orchestra: Movement IV,Philip Glass,Philip Glass: Symphony No.2,1998,0,229266,False,https://i.scdn.co/image/ab67616d0000b2731fc5601152ade346bd1dd649,1,41
Llama y Verás,Luis Alberto Spinetta,Llama y Verás,Luis Alberto Spinetta,Silver Sorgo,2001,16,209506,False,https://i.scdn.co/image/ab67616d0000b27383cd26b3199cf83cde70c555,1,42
Heyya Heyya,Ramy Ayach,هي هي,Ramy Ayach,قلبي مال,2002,1,239699,False,https://i.scdn.co/image/ab67616d0000b27322b32ff176a999e5937f5b8a,1,2
Misty Valley,Frank Chacksfield & His Orchestra,Misty Valley,Peter Yorke,The Golden Age of Light Music: Nature's Realm,2012,2,156746,False,https://i.scdn.co/image/ab67616d0000b273b9bbab50d8afe3ce68fc5765,1,2
Sehnsuchtsexpress,Frl.Menke,Sehnsuchtsexpress,Frl. Menke,Ich Will's Gefährlich,2008,0,217213,False,https://i.scdn.co/image/ab67616d0000b273fb101fee9e5197ae282e8266,1,43
Come Alive,Agnostic Front,Come Alive,Agnostic Front,Warriors (Tour Edition),2007,3,122186,False,https://i.scdn.co/image/ab67616d0000b27334213473219c325b13486692,1,44
Spitting Games,Snow Patrol,Spitting Games,Snow Patrol,Final Straw,2004,50,226026,False,https://i.scdn.co/image/ab67616d0000b2733da246ae81087859a89fe42a,1,45
Drones,Rise Against,Drones,Rise Against,The Sufferer & The Witness,2006,41,181600,False,https://i.scdn.co/image/ab67616d0000b2733d49fa9efbba5f8ecc35b0df,1,46
Check the bomb,Refractory,Check The Bomb,Refractory,Refractory,2005,1,359093,False,https://i.scdn.co/image/ab67616d0000b273569656686023adb2d0883e69,1,2
System of Play,Theodor Zox,System of Play,Theodor Zox,Run Away,2007,0,382000,False,https://i.scdn.co/image/ab67616d0000b273864efb58cefabeffcee68dd2,1,2
Birch,Maximilian Hecker,Birch,Maximilian Hecker,Lady Sleep,2005,1,259144,False,https://i.scdn.co/image/ab67616d0000b2731c4b79329d81cb037afe20da,1,47
Same Old Thing,Albert Collins,Same Old Thing,Albert Collins,Collins Mix,1993,3,356200,False,https://i.scdn.co/image/ab67616d0000b27325c6e88224b6f36a6e5bc215,1,-1
Voodoo Doll,Fergie,Voodoo Doll,Fergie,The Dutchess,2006,22,263040,False,https://i.scdn.co/image/ab67616d0000b27310591d448ff910d4275893a6,1,40
Nerio Compra Una Contestadora,Los Amigos Invisibles,Nerio Compra Una Contestadora,Los Amigos Invisibles,The New Sound of the Venezuelan Gozadera,1998,0,24333,False,https://i.scdn.co/image/ab67616d0000b27381d2e6c40d4a100aaac23c6d,1,48
Killer ,Seal,Killer,Adamski,Doctor Adamski’s Musical Pharmacy,1990,53,250760,False,https://i.scdn.co/image/ab67616d0000b273e5079f5671163a6a4bd8491b,1,49
Sunset Manifesto,Flink,Sunset Manifesto,Flink,Moog,2007,0,161453,False,https://i.scdn.co/image/ab67616d0000b2736b28e9e0a62309d508c8dc42,1,2
From My Hands,Salt The Wound,From My Hands,Salt The Wound,Ares,2009,9,241560,False,https://i.scdn.co/image/ab67616d0000b2739f2097daa00553065e7869ea,1,2
Tanz,ZENFU,Mit Lust tritt ich an diesen Tanz,Ludwig Senfl,Joculatores Upsalienses: Early Music at Wik,1990,4,128520,False,https://i.scdn.co/image/ab67616d0000b273345bf9e816811fa1743a46d3,1,2
Paradise In Your Eyes,Winston Reedy,Paradise in Your Eyes,Winston Reedy,"Dim the Light, Vol. 2",2011,15,268696,False,https://i.scdn.co/image/ab67616d0000b273cfeb5a874ba417aafe41c8f2,1,50
Isku Pitkästä Ilosta,Korpiklaani,Isku Pitkästä Ilosta,Korpiklaani,Karkelo,2009,19,250840,False,https://i.scdn.co/image/ab67616d0000b273a1e5380ce40b525560d74c67,1,-1
The Way I Am,Eminem,The Way I Am,Eminem,The Marshall Mathers LP,2000,71,290426,True,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,4,51
One More Ride ,Johnny Cash,One More Ride,Johnny Cash,The Fabulous Johnny Cash,1958,19,118826,False,https://i.scdn.co/image/ab67616d0000b273e10ab726b42d3c8b12a8a596,1,52
Can't Help Falling In Love,Brian Dullaghan,Can't Help Falling In Love,Brian Dullaghan,Songs For A Wedding,2016,0,192173,False,https://i.scdn.co/image/ab67616d0000b273a5acb5da4e6ae3af5d9337ed,1,53
Que Vuelvas,Shakira,Que Vuelvas,Shakira,Donde Estan Los Ladrones,1998,54,230800,False,https://i.scdn.co/image/ab67616d0000b273bfcff1dd252b22bba16a2a5d,1,54
I'm In The Mood For Love,Roger Williams,I'm In The Mood For Love,Roger Williams,Songs Of The Fabulous Century,2000,0,170563,False,https://i.scdn.co/image/ab67616d0000b273a0e101db8a09115e64c57705,1,10
Concertino for Bass Trombone and Trombone Choir,David Taylor,Concertino for Bass Trombone and Trombone Choir,Eric Ewazen,Bass Hits,2001,1,600106,False,https://i.scdn.co/image/ab67616d0000b273b54ab78d20b2277671ac46be,1,2
De Tha Mai Edo,Domna Kountouri,De Tha Mai Edo,Domna Kountouri,Paihnidi Isorropias,2006,9,211226,False,https://i.scdn.co/image/ab67616d0000b2733824f5d33e167148fe8d458a,1,2
A Goodnight's Sleep,The Starting Line,A Goodnight's Sleep,The Starting Line,Say It Like You Mean It,2002,29,262666,False,https://i.scdn.co/image/ab67616d0000b27339fedf61abad94ee76ff6a7f,1,55
Mui Mal_ Animal,L.A.V.I,"Mui Mal, Animal - Midnight Animal Mix",L.A.V.I,"Mui Mal, Animal",2009,0,487893,False,https://i.scdn.co/image/ab67616d0000b2733588ecb069cc2fca4f06f350,1,2
Cup Horn,TEN MADISON,Cup Horn - Original Mix,Ten Madison,Grounded,2006,1,344640,False,https://i.scdn.co/image/ab67616d0000b273ac9f6b6765eabf6d8d5b38c7,1,2
Am I That Easy To Forget,Carl Belew,Am I That Easy to Forget,Carl Belew,Am I That Easy to Forget,1965,28,151080,False,https://i.scdn.co/image/ab67616d0000b27358b7741ca0928522f7a97fef,0,-1
Vitamina,Sonora Carruseles,Vitamina,Sonora Carruseles,The Best,2015,14,230373,False,https://i.scdn.co/image/ab67616d0000b27333237b7ee1ac94208586e175,1,56
The Haunting,The Misfits,The Haunting,Misfits,American Psycho,1997,31,85973,False,https://i.scdn.co/image/ab67616d0000b273f160642bd859ed1ae98e9b80,1,57
Some Kind Of Zombie ,Audio Adrenaline,Some Kind Of Zombie,Audio Adrenaline,Some Kind Of Zombie,1997,23,285373,False,https://i.scdn.co/image/ab67616d0000b273fed6ec4b0c165a74a7f975e2,1,58
A Veces Hablo De Ti,Tito Allen,A Veces Hablo De Ti,Tito Allen,Clase y Sabor,1993,5,322226,False,https://i.scdn.co/image/ab67616d0000b273ca9bc23aca3a1bff14862ba8,1,59
Old Fashioned Baby,Pee Wee Crayton,Old Fashioned Baby '49,Pee Wee Crayton,Greatest Blues Masters,2015,0,163906,False,https://i.scdn.co/image/ab67616d0000b273ca5c05fec2663da71a29c858,1,60
Just Say Yes,Dickies,Just Say Yes,The Dickies,Locked 'n' Loaded,1990,1,152960,False,https://i.scdn.co/image/ab67616d0000b2735a6c00ddef2e5c80c4da4559,1,44
Faithkeeper_ Part 1,David & Steve Gordon,Faithkeeper - Part 1,David & Steve Gordon,Sacred Drum Visions: The 20th Anniversary Collection,2002,3,534293,False,https://i.scdn.co/image/ab67616d0000b273d2fc265404e42d832ccf1c22,1,2
Children Of Love,Abijah,Children Of Love,Abijah,Abijah,2003,0,204786,False,https://i.scdn.co/image/ab67616d0000b2738ae16ce71ef43e8f005a3149,1,2
Afro Profondo,Daniela Dessì,Afro Profondo,Daniela Dessi,Ethnic Lounge 2,2009,0,179186,False,https://i.scdn.co/image/ab67616d0000b27399505fa7ebddea511b7329ff,1,2
Lihava enkeli,Murskahumppa,Lihava Enkeli,Murskahumppa,Murskapunkkia,2009,0,163640,False,https://i.scdn.co/image/ab67616d0000b273c1e2cb1ff873665674891850,1,2
Killing Me Softly With His Song,CoCo Lee,Killing Me Softly With His Song,CoCo Lee,大家都愛COCO李玟萬人迷演唱會精彩實錄,1999,1,310533,False,https://i.scdn.co/image/ab67616d0000b2736f4831e3d094504a948c2aae,1,61
Love Theme ,Burt Bacharach,Love Theme (The Falling In Love) - Isn’t She Great/Soundtrack Version,Burt Bacharach,Isn't She Great,1999,2,98373,False,https://i.scdn.co/image/ab67616d0000b2738eaa08109b7b728a121dce65,1,-1
Roller Derby,Leon Russell,Roller Derby,Leon Russell,Carney,1972,18,145493,False,https://i.scdn.co/image/ab67616d0000b27351247ab79904061f1294b599,1,62
Are You Ever Gonna Love Me?,Jimmy Wayne,Are You Ever Gonna Love Me?,Jimmy Wayne,Jimmy Wayne,2003,11,229960,False,https://i.scdn.co/image/ab67616d0000b273f23d3892a0037b7b8bdbb9df,1,63
So deep,Ann Lee,So Deep - Original,Ann Lee,Dreams,1999,10,255346,False,https://i.scdn.co/image/ab67616d0000b273c631c67d0669967b5df2e4ff,1,64
Collecting Dust,Life Long Tragedy,Collecting Dust,Life Long Tragedy,Runaways,2008,6,204973,True,https://i.scdn.co/image/ab67616d0000b2733b64c0cdb9f990e29900327a,1,3
You Had Me From Hello ,Hushabye Baby,You Had Me from Hello,Hushabye Baby,Lullaby Renditions of Country Music Favorites Vol. 2,2008,1,223453,False,https://i.scdn.co/image/ab67616d0000b2738aad5499418f8de1521eb24d,1,2
Nothing's Clear ,Ill Nino,Nothing's Clear,Ill Niño,Revolution Revolucion,2001,26,202133,True,https://i.scdn.co/image/ab67616d0000b2732c8ebc5f67ffb2e5844c0165,1,-1
You Must Do Your Best Tonight / I Represent/Animal Crackers,The Marx Brothers,You Must Do Your Best Tonight / I Represent/Animal Crackers,Marx Brothers,Horse Feathers / Animal Crackers,2004,0,116386,False,https://i.scdn.co/image/ab67616d0000b273072708e4628ffba67dc8057e,1,2
French Suite: A Paris Thing,William Goldstein,French Suite: A Paris Thing - Re-Recorded and Remastered,William Goldstein,French Suite,2021,0,282749,False,https://i.scdn.co/image/ab67616d0000b2737de07863db93d67c4b2d4af7,1,2
Oh Scat Mix Up,Tim Exile,Oh Scat Mix Up,Tim Exile,Tim Exile's Nuisance Gabbaret Lounge,2006,0,78213,False,https://i.scdn.co/image/ab67616d0000b27344a8176a556b1d2b6a3e09b1,1,2
The Modern World,The Jam,The Modern World,The Jam,This Is The Modern World,1977,36,150626,True,https://i.scdn.co/image/ab67616d0000b2733aa3f67d16a0b2a57c73eaa4,1,-1
I'm Not A Loser,Descendents,I'm Not a Loser,Descendents,Milo Goes to College,2022,49,88773,True,https://i.scdn.co/image/ab67616d0000b273d1b93c670335d398c6ef1d12,1,-1
De Paris Un Caballero,Barbarito Diez,De Paris Un Caballero,Barbarito Diez,"Así Bailaba Cuba, Vol. 1 Pte. 1",1990,0,157913,False,https://i.scdn.co/image/ab67616d0000b273ae6c75ed40edf42b4512abd5,1,65
La Rue Du Babouin,Françoise Hardy - Maurane,La rue du babouin (feat. Maurane),Françoise Hardy,Triple best of,2009,5,194200,False,https://i.scdn.co/image/ab67616d0000b273048c7cdd076beb4fbc275bb9,1,66
Big Bounce,David Arkenstone,Big Bounce,David Arkenstone,Chillout Lounge: A Downtempo Instrumental Chillout Mix,2009,6,274040,False,https://i.scdn.co/image/ab67616d0000b273d1e5bf56277854ade494df8e,1,67
Summer Summer,The Almost,Summer's Almost Gone,The Doors,Waiting for the Sun,1968,45,199426,False,https://i.scdn.co/image/ab67616d0000b273d848096c6318e3317771721d,1,68
Bubblin' ,Camp Lo,Bubblin',Camp Lo,On The Way Uptown,2016,27,242282,False,https://i.scdn.co/image/ab67616d0000b273cbf9d535c3b6d48de7dede26,1,69
Couldn't Stand The Weather,Stevie Ray Vaughan And Double Trouble,Couldn't Stand the Weather,Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),1984,42,281253,False,https://i.scdn.co/image/ab67616d0000b273eb72e98b6e645a68cdfe72a4,1,70
In Style,David Johansen,In Style,David Johansen,In Style (With Bonus Tracks),1979,3,247986,False,https://i.scdn.co/image/ab67616d0000b273ecb5bc32d745c54e2c5104d1,1,71
Closin' Moes,Jeff Massanari Trio,Closin' Moes,jeff massanari trio,For The Music,2000,0,253866,False,https://i.scdn.co/image/ab67616d0000b2730a28635bce8475a163256c52,1,2
Portobello Lass,Harry Lauder,Portobello Lass,Harry Lauder,Keep Right on to the End of the Road,2023,0,177640,False,https://i.scdn.co/image/ab67616d0000b2730d1b00ccc948055e7433f9f0,1,2
Trumansburg Whistle,Gershon Kingsley,Trumansburg Whistle,Gershon Kingsley,Music To Moog By,1969,6,180093,False,https://i.scdn.co/image/ab67616d0000b273b26473b1e6772d43050a0aec,1,2
