original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,genres
What Drives The Weak,Shadows Fall,What Drives the Weak,Shadows Fall,The War Within,2004-07-13,33,283773,False,https://i.scdn.co/image/ab67616d0000b2733445b186586d5cdff8973c32,"['alternative metal', 'boston metal', 'industrial metal', 'melodic metalcore', 'melodic thrash', 'metalcore', 'new england metal', 'nu metal']"
Life Force,Vanessa Daou,Life Force,Vanessa Daou,Joe Sent Me,2008,1,232946,False,https://i.scdn.co/image/ab67616d0000b2730df02c8aa445538e34b73353,['downtempo']
The Dance Of Europe,Dave Brockie Experience,The Dance Of Europe,Dave Brockie Experience,Diarrhea of a Madman,2001-03-20,4,136733,False,https://i.scdn.co/image/ab67616d0000b273a14db744b39513eb68b38897,['comedy rock']
Spoonie Is Back,Spoonie Gee,Spoonie Is Back,Spoonie Gee,The Message: The Roots of Rap,1999-08-16,4,391373,False,https://i.scdn.co/image/ab67616d0000b2738d9225147bad7bf9458fbfd2,"['harlem hip hop', 'old school hip hop']"
Blood Round Dance Song ,R. Carlos Nakai,Blood Round Dance Song,R. Carlos Nakai,Changes (Canyon Records Definitive Remaster),1983,3,146247,False,https://i.scdn.co/image/ab67616d0000b273ee2924409c3ec43852dd4b4b,"['native american flute', 'native american traditional', 'navajo']"
Crawling ,Linkin Park,Crawling,Linkin Park,Hybrid Theory (Bonus Edition),2000,78,208960,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
Bennie,Koffi Olomidé,Bennie,Koffi Olomide,Diva,1986-03-21,13,624480,False,https://i.scdn.co/image/ab67616d0000b27369f8ac8cea157cac7e7b6c6a,"['azontobeats', 'ndombolo', 'rumba congolaise', 'soukous', 'zilizopendwa']"
Playa del sous-sol,Alain-François,Playa del sous-sol,Alain-François,Vivant,2009-11-03,13,172306,False,https://i.scdn.co/image/ab67616d0000b273d71be756006293fa556de62f,['noel quebecois']
Fascinating Rhythm  ,Billy May & His Orchestra,Fascinating Rhythm (Remastered 2014),Billy May & His Orchestra,40 Hits of Billy May,2023-03-10,0,309417,False,https://i.scdn.co/image/ab67616d0000b27387b3a9d0b35c11d5804809fc,"['easy listening', 'laboratorio', ""man's orchestra""]"
I'm Not Moving,Phil Collins,I'm Not Moving - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),1981-01-01,31,155373,False,https://i.scdn.co/image/ab67616d0000b273f6954c1f074f66907a8c5483,"['rock drums', 'soft rock']"
Grand Frère,Philippe Sarde,"Grand frère - BOF ""Princesses""",Philippe Sarde,Princesses / Un Frère,2000-01-01,0,526440,False,https://i.scdn.co/image/ab67616d0000b273329e858a5d3fe567724f4b46,['french soundtrack']
Up Above My Head,Sister Rosetta Tharpe & Marie,Up Above My Head I Hear Music In The Air,Sister Rosetta Tharpe,Gospel Train (Expanded Edition),1958-04-07,22,149804,False,https://i.scdn.co/image/ab67616d0000b273335f00b1e40586a31fb24d33,"['acoustic blues', 'gospel blues', 'traditional blues']"
Columbia,Oasis,Columbia - Remastered,Oasis,Definitely Maybe (Deluxe Edition Remastered),1994,50,377400,False,https://i.scdn.co/image/ab67616d0000b273d86a1e021e7acc7c07c7d668,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
Radar For Love,Kiss,Radar For Love,KISS,Asylum (Remastered Version),1985-09-16,3,241066,False,https://i.scdn.co/image/ab67616d0000b27339114b83cdf53c63e0b14dd5,"['glam rock', 'hard rock', 'rock']"
Antarctica Starts Here,John Cale,Antarctica Starts Here - Remastered 2024,John Cale,Paris 1919 (Deluxe Edition),2024-11-15,25,171824,False,https://i.scdn.co/image/ab67616d0000b2736203ecb2863d44223da36613,"['art rock', 'melancholia', 'singer-songwriter']"
Out In The Street  ,UFO,Out in the Street - Live,UFO,Strangers in the Night (Live) [2008 Remaster],1979-01-29,20,314266,False,https://i.scdn.co/image/ab67616d0000b2736e1838dd1521f5b1484aed2a,"['album rock', 'glam metal', 'hard rock', 'metal', 'progressive rock']"
Heavy On My Mind ,Back Door Slam,Heavy on My Mind,Back Door Slam,Roll Away (Deluxe Edition),2018-06-01,8,319840,False,https://i.scdn.co/image/ab67616d0000b273cff8c14cf84130c9db798218,"['british blues', 'isle of man indie', 'modern blues rock']"
Everyone make love,Cool cavemen,Everyone Make Love,Cool Cavemen,Multipolar,2013-10-14,0,235346,False,https://i.scdn.co/image/ab67616d0000b273bcf6718233cf3e02719cbd7d,
Calm Da Seas,Dave Hollister,Calm Da Seas,Dave Hollister,Witness Protection,2008-08-01,5,258173,False,https://i.scdn.co/image/ab67616d0000b273be4c0273615eb17cb6918388,"['contemporary r&b', 'new jack swing', 'r&b']"
Ran Kan Kan,Nestor Torres,Ran Kan Kan,Néstor Torres,Mi Alma Latina (My Latin Soul),2002-08-07,12,194266,False,https://i.scdn.co/image/ab67616d0000b273dd48d486b337f5a381f9608f,
Afraid Of Change ,Casa Bulga,Afraid Of Change - Tribal Vocal Mix,Casa Bulga,Afraid Of Change,2008-09-16,0,406146,False,https://i.scdn.co/image/ab67616d0000b273196885d2fa0c1c185cdbac3b,
Grow Up_ Grow Old,Debbie Davies,"Grow Up, Grow Old",Debbie Davies,Love The Game,2001-03-13,0,283933,False,https://i.scdn.co/image/ab67616d0000b273f50ea20fef330aca1bc61ad5,"['electric blues', 'modern blues', 'power blues-rock']"
Walk Away From Love,Willie Clayton,Walk Away From Love,Willie Clayton,Sings The Number Ones,2018-11-23,8,256165,False,https://i.scdn.co/image/ab67616d0000b27391ebee8339386e4f701b62aa,"['chicago blues', 'chicago soul', 'soul blues', 'southern soul', 'southern soul blues']"
Rainbow Country ,Bob Marley & The Wailers,Rainbow Country (Knee Deep's Club Mix),Knee Deep,Clubber's Guide to Deep House,2004-01-01,17,194583,False,https://i.scdn.co/image/ab67616d0000b2735464d1c0c558090278e07c0c,['deep house']
Strange Things,Tanto Metro & Devonte,Strange Things,Tanto Metro & Devonte,Riddim Driven: Celebration,2009-05-13,0,158200,False,https://i.scdn.co/image/ab67616d0000b2736d51623419c78d6ac9e196a0,"['dancehall', 'jamaican dancehall']"
Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,Screamin' and Hollerin' The Blues,2005-06-20,0,210493,False,https://i.scdn.co/image/ab67616d0000b27307d7c48feef7b77f2d447c68,"['acoustic blues', 'country blues']"
Dholna Dholna,Naseebo Lal,Dholna Ve Ranjna,Naseebo Lal,"Thand Lagdi Menu, Vol. 68 (Mujra Hi Mujra)",2015-04-30,16,296342,False,https://i.scdn.co/image/ab67616d0000b2731f1c1b04b0f101ed9b2df929,"['classic pakistani pop', 'sufi']"
Parchman Farm,Hot Tuna,Parchman Farm,Hot Tuna,Pair A Dice Found,1990-11-06,1,312306,False,https://i.scdn.co/image/ab67616d0000b2736c31e7b8d8543b6307ed4b80,"['blues rock', 'country rock', 'electric blues', 'jam band', 'psychedelic rock', 'roots rock']"
A Lo Clasico,Daddy Yankee,A Lo Clásico,Daddy Yankee,El Cartel: The Big Boss,2007-06-05,29,235093,True,https://i.scdn.co/image/ab67616d0000b27323a0d80da059e0b729f42714,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Zhi Xiang Ni hui Yi,Hacken Lee,只想您會意,Hacken Lee,只想您會意,1992-01-01,27,260693,False,https://i.scdn.co/image/ab67616d0000b2735f59d1f007b4fecd29bfad6c,"['c-pop', 'cantopop', 'classic cantopop']"
Amaze,Jimmy Riley,Amaze,Jimmy Riley,"Sons Of Jamaica, Vol. 2",2015,0,218893,False,https://i.scdn.co/image/ab67616d0000b273da549073a81662f843403961,"['lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']"
Radio Rape,The Cortinas,Radio Rape,The Cortinas,Please Don't Hit Me,1978,0,221266,False,https://i.scdn.co/image/ab67616d0000b273b9f116a737c169d899a4b7cf,['deep punk rock']
Ain't No Game,Masta Ace Incorporated,Ain't No Game,Masta Ace Incorporated,Sittin' On Chrome,1995-01-01,11,295106,True,https://i.scdn.co/image/ab67616d0000b273ead3418d92456c9f3778a947,['east coast hip hop']
Cavaleiro De Aruanda,Jongo Trio,Cavaleiro De Aruanda,Jongo Trio,Jongo Trio,2002-01-01,10,158106,False,https://i.scdn.co/image/ab67616d0000b27352de1741f3591255e6ba2671,
TELL ME WHY,George Nooks,Tell Me Why,George Nooks,No Power On Earth,2002-01-01,0,224160,False,https://i.scdn.co/image/ab67616d0000b2739481af4fd89011dc6a0a0d85,"['deep ragga', 'gospel reggae', 'lovers rock', 'old school dancehall', 'roots reggae']"
Czwarty,Energy,Czwarty,Energy,Energy,1999,0,310933,False,https://i.scdn.co/image/ab67616d0000b273a3a22015c14f8d1d154afbb9,
Washington Post ,Felix Slatkin/Concert Arts Symphonic Band,Washington Post - 1998 Digital Remaster,John Philip Sousa,The Military Band: Salute To The Services,1998-01-01,1,151413,False,https://i.scdn.co/image/ab67616d0000b273b1d0b16cbea29b3e12ecbc76,"['american romanticism', 'concert band']"
Cavalleria Rusticana,William Orbit,Cavalleria Rusticana,William Orbit,Pieces In A Modern Style,1995-01-17,21,199866,False,https://i.scdn.co/image/ab67616d0000b27325f448257f17bda198d949e9,"['classic progressive house', 'downtempo', 'intelligent dance music']"
Forever,Chris Brown,Forever,Chris Brown,Forever,2008-04-29,77,278573,False,https://i.scdn.co/image/ab67616d0000b273b0d747e54b78eb460dcb9316,"['r&b', 'rap']"
Amor a Medias,HA-ASH,Amor a Medias,Ha*Ash,Mundos Opuestos,2005,53,254826,False,https://i.scdn.co/image/ab67616d0000b273f84b508ac6c54b24ed5428c3,"['latin arena pop', 'latin pop', 'mexican pop']"
15 Step,Radiohead,15 Step,Radiohead,In Rainbows,2007-12-28,64,237293,False,https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
I Love Your Way,Kashief Lindo,I Love Your Way,Kashief Lindo,Love Knows The Way,2005,1,210520,False,https://i.scdn.co/image/ab67616d0000b273587fa7583cea0238d41e0950,"['deep ragga', 'lovers rock', 'old school dancehall']"
Lookin' For Me Somewhere,BoDeans,Lookin' for Me Somewhere,Bodeans,Love & Hope & Sex & Dreams,1986-04-16,23,181733,False,https://i.scdn.co/image/ab67616d0000b2734d9edd1343a48b412465d304,['jangle pop']
Raise Your Hands,Bon Jovi,Raise Your Hands,Bon Jovi,Slippery When Wet,1986-08-16,49,256733,False,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,"['glam metal', 'rock']"
Rainbow Dance,John Tchicai,Rainbow Dance,John Tchicai,Anybody Home?,2013-11-19,0,182346,False,https://i.scdn.co/image/ab67616d0000b273e789f5ca93cef117a53742a6,"['avant-garde jazz', 'free jazz', 'jazz saxophone']"
Champagne & Reefer,Bongzilla,Champagne & Reefer,Bongzilla,Amerijuanican,2005-09-27,21,286586,True,https://i.scdn.co/image/ab67616d0000b27390b05574f7590723c7860413,"['doom metal', 'drone metal', 'sludge metal', 'stoner metal', 'stoner rock']"
No More Doggin',Otis Spann,No More Doggin',Otis Spann,The Biggest Thing Since Colossus,1969-03-25,5,177373,False,https://i.scdn.co/image/ab67616d0000b2732f750bd149344a63675697fb,"['blues', 'boogie-woogie', 'chicago blues', 'jazz blues', 'piano blues', 'traditional blues']"
I Need a Veggie,John Holt,I Need a Veggie,John Holt,I Need a Veggie,1978,0,231066,False,https://i.scdn.co/image/ab67616d0000b273191099306298fccd8da37e2c,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae']"
Get Happy,Danny Wilson,Get Happy,Danny Wilson,Sweet Danny Wilson / Three-In-A-Bed-Romp,1991-01-01,1,126973,False,https://i.scdn.co/image/ab67616d0000b273178358695783f184bf0e23a7,"['new wave pop', 'scottish new wave', 'sophisti-pop']"
I'll Wait for You Dear,Al Dexter,I'll Wait For You Dear,Al Dexter,Remind Me Your Name?,2016-07-19,0,156320,False,https://i.scdn.co/image/ab67616d0000b273d03e4ff69afcb71ae37ceac1,"['cowboy western', 'western swing']"
From Afar ,Van Halen,From Afar,Van Halen,Van Halen III,1998-03-17,20,324226,False,https://i.scdn.co/image/ab67616d0000b273e2ec7223c7a80f16b06a064c,"['album rock', 'classic rock', 'hard rock', 'rock']"
Cry For Love,Capleton,Cry for Love,Capleton,Rachik,2009-05-05,2,172720,False,https://i.scdn.co/image/ab67616d0000b273ed563850a7aa7163abfa8ffe,"['dancehall', 'lovers rock', 'reggae', 'roots reggae']"
Wohär dr Wind wäiht,Kisha,Wohär dr Wind wäiht,Kisha,Stoffwächsu,2004-09-16,0,203040,False,https://i.scdn.co/image/ab67616d0000b273d1b0bc6d278a67cca65ba66b,"['dennery segment', 'mundart']"
Volumatic Spacer Device,The Chap,Volumatic Spacer Device,The Chap,The Horse,2003-03-07,0,231653,False,https://i.scdn.co/image/ab67616d0000b2738f1fd7fdafb721625d76136a,"['british experimental', 'experimental pop']"
Putt Jhatt Da Gulabi Phull Varga,DJ Vix,Putt Jhatt Da Gulabi Phull Varga,Dj Vix,The Official Moviebox Vix Tape Vol.1,2008-09-15,1,98773,False,https://i.scdn.co/image/ab67616d0000b273945e5e99144112d2592cd950,['bhangra']
Namibia,Ziggy Marley And The Melody Makers,Namibia,Ziggy Marley & The Melody Makers,Jahmekya,1991-01-01,5,246466,False,https://i.scdn.co/image/ab67616d0000b27387d9a181a8dce1978a22d9eb,"['reggae', 'roots reggae']"
Unlearn,Crematorium,Unlearn,Crematorium,For All Our Sins,2002-11-05,0,210133,False,https://i.scdn.co/image/ab67616d0000b27330b4487a43dec4fd18764799,
Vargbrodern Talar,Månegarm,Vargbrodern Talar,Månegarm,Vargstenen,2007-05-04,11,92773,False,https://i.scdn.co/image/ab67616d0000b2738275a1f28032251e99702db5,"['folk black metal', 'folk metal', 'nordic folk metal', 'swedish metal', 'viking black metal', 'viking metal']"
Sweet Lady,Ernest Ranglin / Floyd Lloyd,Sweet Lady - Instrumental,Floyd Lloyd,Better to Laugh,1996-02-28,0,296493,False,https://i.scdn.co/image/ab67616d0000b2733525713415fa01f0ef08a417,
Forever,Franco,Forever More (Francois K & Eric Kupper Vocal Mix),Moloko,"All Back to the Mine: Vol, 1: A Collection of Remixes",2016-11-11,29,633901,False,https://i.scdn.co/image/ab67616d0000b273d46ee7c87b2d7d1772bf9cd1,"['electronica', 'trip hop']"
3,Britney Spears,3,Britney Spears,The Singles Collection,2009-11-09,57,213173,False,https://i.scdn.co/image/ab67616d0000b273cc8fa71a43ad87783b3f64be,"['dance pop', 'pop']"
Meet Me in the City,Junior Kimbrough,Meet Me in the City,Junior Kimbrough,First Recordings,2009,42,151360,False,https://i.scdn.co/image/ab67616d0000b27363b7e3b8951104a28ddfa3bb,"['acoustic blues', 'country blues', 'delta blues', 'traditional blues']"
Drama  ,Liquid Gang,Drama,Liquid Gang,Sunshine,2000-08-04,1,226026,False,https://i.scdn.co/image/ab67616d0000b2731b7ec89708d626f4b328ed89,"['alternative metalcore', 'rap metalcore']"
Oh What A Feeling,Everly Brothers,"Oh, What A Feeling",The Everly Brothers,The Fabulous Style Of The Everly Brothers,1960-01-01,10,127706,False,https://i.scdn.co/image/ab67616d0000b27308583afa01434b9ff4a2c80f,"['adult standards', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
Concerto For Saxophone : Movement IV,Philip Glass,Concerto for Saxophone Quartet & Orchestra: Movement IV,Philip Glass,Philip Glass: Symphony No.2,1998-04-21,0,229266,False,https://i.scdn.co/image/ab67616d0000b2731fc5601152ade346bd1dd649,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']"
Llama y Verás,Luis Alberto Spinetta,Llama y Verás,Luis Alberto Spinetta,Silver Sorgo,2001-01-01,16,209506,False,https://i.scdn.co/image/ab67616d0000b27383cd26b3199cf83cde70c555,"['argentine rock', 'post-punk argentina', 'rock nacional']"
Heyya Heyya,Ramy Ayach,هي هي,Ramy Ayach,قلبي مال,2002-01-01,1,239699,False,https://i.scdn.co/image/ab67616d0000b27322b32ff176a999e5937f5b8a,"['arab pop', 'lebanese pop']"
Misty Valley,Frank Chacksfield & His Orchestra,Misty Valley,Peter Yorke,The Golden Age of Light Music: Nature's Realm,2012-05-15,2,156746,False,https://i.scdn.co/image/ab67616d0000b273b9bbab50d8afe3ce68fc5765,
Sehnsuchtsexpress,Frl.Menke,Sehnsuchtsexpress,Frl. Menke,Ich Will's Gefährlich,2008-12-19,0,217213,False,https://i.scdn.co/image/ab67616d0000b273fb101fee9e5197ae282e8266,['neue deutsche welle']
Come Alive,Agnostic Front,Come Alive,Agnostic Front,Warriors (Tour Edition),2007,3,122186,False,https://i.scdn.co/image/ab67616d0000b27334213473219c325b13486692,"['chicano punk', 'crossover thrash', 'hardcore', 'hardcore punk', 'nyhc', 'old school thrash', 'punk']"
Spitting Games,Snow Patrol,Spitting Games,Snow Patrol,Final Straw,2004-01-01,50,226026,False,https://i.scdn.co/image/ab67616d0000b2733da246ae81087859a89fe42a,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']"
Drones,Rise Against,Drones,Rise Against,The Sufferer & The Witness,2006-01-01,41,181600,False,https://i.scdn.co/image/ab67616d0000b2733d49fa9efbba5f8ecc35b0df,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']"
Check the bomb,Refractory,Check The Bomb,Refractory,Refractory,2005-07-13,1,359093,False,https://i.scdn.co/image/ab67616d0000b273569656686023adb2d0883e69,
System of Play,Theodor Zox,System of Play,Theodor Zox,Run Away,2007-01-26,0,382000,False,https://i.scdn.co/image/ab67616d0000b273864efb58cefabeffcee68dd2,
Birch,Maximilian Hecker,Birch,Maximilian Hecker,Lady Sleep,2005-02-12,1,259144,False,https://i.scdn.co/image/ab67616d0000b2731c4b79329d81cb037afe20da,['melancholia']
Same Old Thing,Albert Collins,Same Old Thing,Albert Collins,Collins Mix,1993-01-01,3,356200,False,https://i.scdn.co/image/ab67616d0000b27325c6e88224b6f36a6e5bc215,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues', 'traditional blues']"
Voodoo Doll,Fergie,Voodoo Doll,Fergie,The Dutchess,2006-09-13,22,263040,False,https://i.scdn.co/image/ab67616d0000b27310591d448ff910d4275893a6,"['dance pop', 'pop']"
Nerio Compra Una Contestadora,Los Amigos Invisibles,Nerio Compra Una Contestadora,Los Amigos Invisibles,The New Sound of the Venezuelan Gozadera,1998-01-01,0,24333,False,https://i.scdn.co/image/ab67616d0000b27381d2e6c40d4a100aaac23c6d,"['latin afrobeat', 'latin alternative', 'latin funk', 'latin rock', 'rock en espanol', 'venezuelan indie', 'venezuelan rock']"
Killer ,Seal,Killer,Adamski,Doctor Adamski’s Musical Pharmacy,1990-01-01,53,250760,False,https://i.scdn.co/image/ab67616d0000b273e5079f5671163a6a4bd8491b,"['acid house', 'hip house']"
Sunset Manifesto,Flink,Sunset Manifesto,Flink,Moog,2007-01-01,0,161453,False,https://i.scdn.co/image/ab67616d0000b2736b28e9e0a62309d508c8dc42,
From My Hands,Salt The Wound,From My Hands,Salt The Wound,Ares,2009-09-15,9,241560,False,https://i.scdn.co/image/ab67616d0000b2739f2097daa00553065e7869ea,['deathcore']
Tanz,ZENFU,Mit Lust tritt ich an diesen Tanz,Ludwig Senfl,Joculatores Upsalienses: Early Music at Wik,1990-09-30,4,128520,False,https://i.scdn.co/image/ab67616d0000b273345bf9e816811fa1743a46d3,['renaissance']
Paradise In Your Eyes,Winston Reedy,Paradise in Your Eyes,Winston Reedy,"Dim the Light, Vol. 2",2011-11-11,15,268696,False,https://i.scdn.co/image/ab67616d0000b273cfeb5a874ba417aafe41c8f2,['lovers rock']
Isku Pitkästä Ilosta,Korpiklaani,Isku Pitkästä Ilosta,Korpiklaani,Karkelo,2009-06-26,19,250840,False,https://i.scdn.co/image/ab67616d0000b273a1e5380ce40b525560d74c67,"['finnish metal', 'folk metal', 'nordic folk metal', 'power metal', 'symphonic metal', 'viking metal']"
The Way I Am,Eminem,The Way I Am,Eminem,The Marshall Mathers LP,2000-05-23,71,290426,True,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,"['detroit hip hop', 'hip hop', 'rap']"
One More Ride ,Johnny Cash,One More Ride,Johnny Cash,The Fabulous Johnny Cash,1958-11,19,118826,False,https://i.scdn.co/image/ab67616d0000b273e10ab726b42d3c8b12a8a596,"['arkansas country', 'outlaw country', 'rock']"
Can't Help Falling In Love,Brian Dullaghan,Can't Help Falling In Love,Brian Dullaghan,Songs For A Wedding,2016-12-06,0,192173,False,https://i.scdn.co/image/ab67616d0000b273a5acb5da4e6ae3af5d9337ed,"['irish folk', 'irish pub song']"
Que Vuelvas,Shakira,Que Vuelvas,Shakira,Donde Estan Los Ladrones,1998-09-29,54,230800,False,https://i.scdn.co/image/ab67616d0000b273bfcff1dd252b22bba16a2a5d,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
I'm In The Mood For Love,Roger Williams,I'm In The Mood For Love,Roger Williams,Songs Of The Fabulous Century,2000-01-01,0,170563,False,https://i.scdn.co/image/ab67616d0000b273a0e101db8a09115e64c57705,['easy listening']
Concertino for Bass Trombone and Trombone Choir,David Taylor,Concertino for Bass Trombone and Trombone Choir,Eric Ewazen,Bass Hits,2001-12-01,1,600106,False,https://i.scdn.co/image/ab67616d0000b273b54ab78d20b2277671ac46be,
De Tha Mai Edo,Domna Kountouri,De Tha Mai Edo,Domna Kountouri,Paihnidi Isorropias,2006-01-01,9,211226,False,https://i.scdn.co/image/ab67616d0000b2733824f5d33e167148fe8d458a,
A Goodnight's Sleep,The Starting Line,A Goodnight's Sleep,The Starting Line,Say It Like You Mean It,2002-07-16,29,262666,False,https://i.scdn.co/image/ab67616d0000b27339fedf61abad94ee76ff6a7f,"['emo', 'neon pop punk', 'philly indie', 'pop punk', 'screamo']"
Mui Mal_ Animal,L.A.V.I,"Mui Mal, Animal - Midnight Animal Mix",L.A.V.I,"Mui Mal, Animal",2009,0,487893,False,https://i.scdn.co/image/ab67616d0000b2733588ecb069cc2fca4f06f350,
Cup Horn,TEN MADISON,Cup Horn - Original Mix,Ten Madison,Grounded,2006-07-21,1,344640,False,https://i.scdn.co/image/ab67616d0000b273ac9f6b6765eabf6d8d5b38c7,"['future ambient', 'psychill']"
Am I That Easy To Forget,Carl Belew,Am I That Easy to Forget,Carl Belew,Am I That Easy to Forget,1965,28,151080,False,https://i.scdn.co/image/ab67616d0000b27358b7741ca0928522f7a97fef,"['classic country pop', 'classic oklahoma country', 'nashville sound', 'western swing']"
Vitamina,Sonora Carruseles,Vitamina,Sonora Carruseles,The Best,2015-07-01,14,230373,False,https://i.scdn.co/image/ab67616d0000b27333237b7ee1ac94208586e175,"['mambo', 'salsa', 'salsa colombiana']"
The Haunting,The Misfits,The Haunting,Misfits,American Psycho,1997-01-01,31,85973,False,https://i.scdn.co/image/ab67616d0000b273f160642bd859ed1ae98e9b80,"['horror punk', 'new jersey hardcore', 'new jersey punk', 'punk']"
Some Kind Of Zombie ,Audio Adrenaline,Some Kind Of Zombie,Audio Adrenaline,Some Kind Of Zombie,1997-01-01,23,285373,False,https://i.scdn.co/image/ab67616d0000b273fed6ec4b0c165a74a7f975e2,"['ccm', 'christian alternative rock', 'christian music']"
A Veces Hablo De Ti,Tito Allen,A Veces Hablo De Ti,Tito Allen,Clase y Sabor,1993,5,322226,False,https://i.scdn.co/image/ab67616d0000b273ca9bc23aca3a1bff14862ba8,"['salsa', 'salsa international']"
Old Fashioned Baby,Pee Wee Crayton,Old Fashioned Baby '49,Pee Wee Crayton,Greatest Blues Masters,2015-02-01,0,163906,False,https://i.scdn.co/image/ab67616d0000b273ca5c05fec2663da71a29c858,"['blues', 'texas blues', 'traditional blues']"
Just Say Yes,Dickies,Just Say Yes,The Dickies,Locked 'n' Loaded,1990,1,152960,False,https://i.scdn.co/image/ab67616d0000b2735a6c00ddef2e5c80c4da4559,"['early us punk', 'hardcore punk', 'punk']"
Faithkeeper_ Part 1,David & Steve Gordon,Faithkeeper - Part 1,David & Steve Gordon,Sacred Drum Visions: The 20th Anniversary Collection,2002,3,534293,False,https://i.scdn.co/image/ab67616d0000b273d2fc265404e42d832ccf1c22,['healing']
Children Of Love,Abijah,Children Of Love,Abijah,Abijah,2003,0,204786,False,https://i.scdn.co/image/ab67616d0000b2738ae16ce71ef43e8f005a3149,
Afro Profondo,Daniela Dessì,Afro Profondo,Daniela Dessi,Ethnic Lounge 2,2009-01-01,0,179186,False,https://i.scdn.co/image/ab67616d0000b27399505fa7ebddea511b7329ff,"['classical soprano', 'italian soprano']"
